Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
KAZ,Kazakhstan,2022,4.86,12.54717423,395.724,719000000000.0,20.25098742,78.432,1.46316879,30.6156416
KAZ,Kazakhstan,2023,4.821,12.54717423,418.986,783000000000.0,9.768894147,78.158,1.464151517,30.80262806
KAZ,Kazakhstan,2024,4.794,12.54717423,481.236,840000000000.0,8.63117,77.649,1.282763646,30.80262806
KGZ,Kyrgyz Republic,2015,3.338,11.45768642,47.767,25086544784.0,6.503290613,72.129,2.246692574,30.096634
KGZ,Kyrgyz Republic,2016,3.474,11.55730089,54.347,28429771863.0,0.38884,71.901,2.215364566,30.70101945
KGZ,Kyrgyz Republic,2017,3.57,11.65691535,62.036,31241590663.0,3.17531,70.463,2.104830825,30.22379385
KGZ,Kyrgyz Republic,2018,3.67,11.75652981,81.032,30789434120.0,1.5,70.896,2.15497986,30.00766965
KGZ,Kyrgyz Republic,2019,4.295,11.8587579,82.945,34955978965.0,1.1,71.59,2.242364151,33.57425646
KGZ,Kyrgyz Republic,2020,4.63,11.96187492,86.113,34834094213.0,6.282,71.032,2.048385454,32.29167122
KGZ,Kyrgyz Republic,2021,4.096,12.06588858,76.246,39301901464.0,11.9,71.297,1.835810169,33.38660711
KGZ,Kyrgyz Republic,2022,4.043,12.06588858,91.115,45879594489.0,13.90484,71.898,1.793654599,33.26805635
KGZ,Kyrgyz Republic,2023,3.991,12.06588858,85.655,51814586970.0,10.79901,72.202,1.769570373,33.59695786
KGZ,Kyrgyz Republic,2024,3.289,12.06588858,85.655,57864889798.0,5.02051,72.321,1.705407304,33.59695786
KHM,Cambodia,2015,0.393,3.670000076,0.084,69267932041.0,1.2,82.736,1.46023763,25.44760566
KHM,Cambodia,2016,0.716,3.952092528,0.091,75271078913.0,2.999999997,85.127,1.458607676,26.98502979
KHM,Cambodia,2017,0.141,4.23418498,0.098,81171550322.0,2.9,84.988,1.381765961,26.39630475
